office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Newark, NJ",,ERO,Newark Field Office,TRUE,970 Broad Street 11th Floor,Newark,NJ,07102,07102,"970 Broad Street 11th Floor, Newark, NJ 07102","Counties of Monmouth, Middlesex, Somerset, Hunterdon, Union, Essex, Hudson, Bergen, Passaic, Sussex, Warren and Morris.",40.7301363,-74.1742268
"Dover, DE",,ERO,Philadelphia Field Office,TRUE,210 Beiser Boulevard,Dover,DE,19904,19904,"210 Beiser Boulevard, Dover, DE 19904",Delaware,39.1552595,-75.5427345
"Philadelphia, PA",,ERO,Philadelphia Field Office,TRUE,114 North 8th Street 3rd Floor,Philadelphia,PA,19107,19107,"114 North 8th Street 3rd Floor, Philadelphia, PA 19107","Counties: Philadelphia, Bucks, Montgomery, Chester and Delaware",39.9538838,-75.1531302
"Pittsburgh, PA",,ERO,Philadelphia Field Office,TRUE,3000 Sidney Street Suite 100,Pittsburgh,PA,15203,15203,"3000 Sidney Street Suite 100, Pittsburgh, PA 15203","Counties: Erie, Crawford, Warren, Mercer, Venango, Forest, Jerfferson, Clarion, Lawerence, Butler, Armstrong, Indiana, Cambria, Blair, Beaver, Allegheny, Westmoreland, Washington, Greene, Fayette, Somerset, Bedford, Fulton",40.4248324,-79.960811
"York, PA",,ERO,Philadelphia Field Office,TRUE,1605 Clugston Road,York,PA,17404,17404,"1605 Clugston Road, York, PA 17404","Counties: Franklin, Adams, York, Lancaster, Lebanon, Dauphin, Perry, Harrisburg, Cumberland",39.9849944,-76.7579657
"Phoenix, AZ",,ERO,Phoenix Field Office,TRUE,2035 N. Central Avenue,Phoenix,AZ,85004,85004,"2035 N. Central Avenue, Phoenix, AZ 85004","Counties: Apache, Coconino, La Paz, Maricopa, Mohave, Navajo and Yavapai",33.4708485,-112.0731925
"Tucson, AZ",,ERO,Phoenix Field Office,TRUE,6431 South Country Club Road,Tucson,AZ,85706,85706,"6431 South Country Club Road, Tucson, AZ 85706","Counties: Cochise, Graham, Gila, Greenlee, Pinal, Pima, Santa Cruz and Yuma",32.1356653,-110.9248046
"Billings, MT",,ERO,Salt Lake City Field Office,TRUE,2900 4th Avenue Suite 205,Billings,MT,59101,59101,"2900 4th Avenue Suite 205, Billings, MT 59101","Counties: Big Horn, Blaine, Carbon, Carter, Custer, Daniels, Dawson, Fallon, Fergus, Garfield, Golden Valley, Judith Basin, McCone, Musselshell, Petroleum, Powder River, Prairie, Richland, Roosevelt, Rosebud, Sheridan, Stillwater, Sweetgrass, Treasure, Valley, Wheatland, Wibaux, Yellowstone.",45.7836118,-108.5095733
"Boise, ID",,ERO,Salt Lake City Field Office,TRUE,1185 S. Vinnell Way,Boise,ID,83709,83709,"1185 S. Vinnell Way, Boise, ID 83709","Idaho Counties: Owyhee, Elmore, Benewah, Ada, Canyon, Gem, Payette, Boise, Washington, Valley, Adams, Idaho, Lewis, Clearwater, Shoshone, Latah, Nez Perce. Oregon Counties: Malheur, Baker.",43.5942506,-116.2875233
"Helena, MT",,ERO,Salt Lake City Field Office,TRUE,2800 Skyway Drive,Helena,MT,59602,59602,"2800 Skyway Drive, Helena, MT 59602","Counties: Beaverhead, Broadwater, Cascade, Chouteau, Deer Lodge, Flathead, Gallatin, Glacier, Granite, Hill, Jefferson, Lake, Lewis & Clark, Liberty, Lincoln, Madison, Meagher, Mineral, Missoula, Park, Pondera, Powell, Ravalli, Sanders, Silver Bow, Teton, Toole.",46.6124071,-111.9905623
"Idaho Falls, ID",,ERO,Salt Lake City Field Office,TRUE,2075 N Boulevard,Idaho Falls,ID,83402,83402,"2075 N Boulevard, Idaho Falls, ID 83402","Counties: Power, Oneida, Franklin, Bear Lake, Caribou, Bannock, Bingham, Bonneville, Jefferson, Madison, Teton, Fremont, Franklin, Clark.",43.5147311,-112.0339375
"Las Vegas, NV",,ERO,Salt Lake City Field Office,TRUE,501 S. Las Vegas Boulevard Suite 100,Las Vegas,NV,89101,89101,"501 S. Las Vegas Boulevard Suite 100, Las Vegas, NV 89101","Counties: Clark, Esmeralda, Lincoln, Nye",36.1641058,-115.1434296
"Ogden, UT",,ERO,Salt Lake City Field Office,TRUE,2487 S. 1620 W Unit E,Ogden,UT,84401,84401,"2487 S. 1620 W Unit E, Ogden, UT 84401","Counties: Weber, Davis, Box Elder, Cache, Rich, and Daggett.",41.2205835,-112.0191482
"Provo, UT",,ERO,Salt Lake City Field Office,TRUE,1793 W. Business Parkway Drive,Orem,UT,84058,84058,"1793 W. Business Parkway Drive, Orem, UT 84058","Counties: Carbon, Duchesne, Emery, Grand, Juab, Millard, Piute, Sanpete, San Juan, Sevier, Uintah, Utah, Wasatch, Wayne",40.3694213,-111.7659141
"Reno, NV",,ERO,Salt Lake City Field Office,TRUE,6999 Sierra Center Parkway,Reno,NV,89511,89511,"6999 Sierra Center Parkway, Reno, NV 89511","Counties: Washoe, Humboldt, Elko, Pershing, Lander, Eureka, Churchill, Storey, Carson City, Douglas, Lyon, White Pine, Mineral.",39.4621669,-119.7775641
